2026-07-23 11:10:53,132 | INFO | Detected encoding ascii for /Users/princesaini/Hyperliquid-Sentiment-Analysis/data/historical_data.csv
2026-07-23 11:10:53,477 | INFO | Loaded /Users/princesaini/Hyperliquid-Sentiment-Analysis/data/historical_data.csv
2026-07-23 11:10:53,481 | INFO | Detected encoding ascii for /Users/princesaini/Hyperliquid-Sentiment-Analysis/data/fear_greed_index.csv
2026-07-23 11:10:53,483 | INFO | Loaded /Users/princesaini/Hyperliquid-Sentiment-Analysis/data/fear_greed_index.csv
2026-07-23 11:13:13,771 | INFO | Detected encoding ascii
2026-07-23 11:13:14,111 | INFO | Loaded historical_data.csv
2026-07-23 11:13:14,114 | INFO | Detected encoding ascii
2026-07-23 11:13:14,117 | INFO | Loaded fear_greed_index.csv
2026-07-23 11:17:50,566 | INFO | Detected encoding ascii
2026-07-23 11:17:50,918 | INFO | Loaded historical_data.csv
2026-07-23 11:17:50,920 | INFO | Detected encoding ascii
2026-07-23 11:17:50,922 | INFO | Loaded fear_greed_index.csv
2026-07-23 11:18:19,154 | INFO | Detected encoding ascii
2026-07-23 11:18:19,493 | INFO | Loaded historical_data.csv
2026-07-23 11:18:19,495 | INFO | Detected encoding ascii
2026-07-23 11:18:19,497 | INFO | Loaded fear_greed_index.csv
2026-07-23 11:22:03,515 | INFO | Detected encoding ascii
2026-07-23 11:22:03,873 | INFO | Loaded historical_data.csv
2026-07-23 11:22:03,875 | INFO | Detected encoding ascii
2026-07-23 11:22:03,877 | INFO | Loaded fear_greed_index.csv
2026-07-23 11:22:04,224 | INFO | Historical Dataset: Removed 0 duplicate rows
2026-07-23 11:22:04,281 | INFO | Fear & Greed Dataset: Removed 0 duplicate rows
2026-07-23 11:22:05,748 | INFO | Cleaned datasets saved.
2026-07-23 11:23:54,110 | INFO | Detected encoding ascii
2026-07-23 11:23:54,453 | INFO | Loaded historical_data.csv
2026-07-23 11:23:54,455 | INFO | Detected encoding ascii
